Timestamp,HumanMPositionX,HumanMPositionY,HumanMPositionZ,BallPositionX,BallPositionY,BallPositionZ
1.306457,9.170000,0.172373,3.710000,-0.864695,2.424145,2.095763
1.317568,9.170000,0.172373,3.710000,-0.864775,2.407530,2.026884
1.328679,9.170000,0.172373,3.710000,-0.864112,2.390806,1.959412
1.339791,9.170000,0.172373,3.710000,-0.862170,2.373893,1.894361
1.350902,9.170000,0.172373,3.710000,-0.860228,2.356980,1.829311
1.362013,9.170000,0.172373,3.710000,-0.858286,2.340067,1.764260
1.373124,9.170000,0.172373,3.710000,-0.856344,2.323154,1.699209
1.384235,9.170000,0.172373,3.710000,-0.853747,2.308300,1.646595
1.395346,9.170000,0.172373,3.710000,-0.850930,2.294135,1.598138
1.406457,9.170000,0.172373,3.710000,-0.848113,2.279970,1.549681
1.417569,9.170000,0.172373,3.710000,-0.845296,2.265805,1.501224
1.428680,9.170000,0.172373,3.710000,-0.842845,2.253479,1.459057
1.439791,9.170000,0.172373,3.710000,-0.842845,2.253479,1.459057
1.450902,9.170000,0.172373,3.710000,-0.842845,2.253479,1.459057
1.462013,9.170000,0.172373,3.710000,-0.842845,2.253479,1.459057
1.473124,9.170000,0.172373,3.710000,-0.842845,2.253479,1.459057
1.484235,9.170000,0.172373,3.710000,-0.842845,2.253479,1.459057
1.495347,9.170000,0.172373,3.710000,-0.842845,2.253479,1.459057
1.506458,9.170000,0.172373,3.710000,-0.842845,2.253479,1.459057
1.517569,9.170000,0.172373,3.710000,-0.842845,2.253479,1.459057
1.528680,9.170000,0.172373,3.710000,-0.842845,2.253479,1.459057
1.539791,9.170000,0.172373,3.710000,-0.842845,2.253479,1.459057
1.550902,9.170000,0.172373,3.710000,-0.842845,2.253479,1.459057
1.562013,9.170000,0.172373,3.710000,-0.842845,2.253479,1.459057
1.573125,9.170000,0.172373,3.710000,-0.842845,2.253479,1.459057
1.584236,9.170000,0.172373,3.710000,-0.834963,2.256252,1.461579
1.595347,9.170000,0.172373,3.710000,-0.819301,2.261762,1.466591
1.606458,9.170000,0.172373,3.710000,-0.803640,2.267272,1.471602
1.617569,9.170000,0.172373,3.710000,-0.787978,2.272782,1.476614
1.628680,9.170000,0.172373,3.710000,-0.772316,2.278292,1.481625
1.639791,9.170000,0.172373,3.710000,-0.715014,2.297636,1.500753
1.650903,9.170000,0.172373,3.710000,-0.654364,2.318091,1.521015
1.662014,9.170000,0.172373,3.710000,-0.593714,2.338547,1.541278
