Timestamp,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
28.723250,9.170000,0.172373,3.710000,0.000000,-0.194951,0.000000,0.980813
28.776350,9.170000,0.172373,3.710000,0.000000,-0.155169,0.000000,0.987888
28.823310,9.170000,0.172373,3.710000,0.000000,-0.112823,0.000000,0.993615
28.873310,9.170000,0.172373,3.710000,0.000000,-0.075205,0.000000,0.997168
28.926710,9.170000,0.172373,3.710000,0.000000,-0.035027,0.000000,0.999386
28.973650,9.170000,0.172373,3.710000,0.000000,0.000000,0.000000,1.000000
29.024320,9.068665,0.172373,3.710000,0.000000,-0.197697,0.000000,0.980263
29.077350,8.962625,0.172373,3.710000,0.000000,-0.347110,0.000000,0.937825
29.125360,8.866636,0.172373,3.710000,0.000000,-0.442078,0.000000,0.896977
29.175310,8.766752,0.172373,3.710000,0.000000,-0.513883,0.000000,0.857860
29.228520,8.660347,0.172373,3.710000,0.000000,-0.568638,0.000000,0.822588
29.275440,8.566523,0.172373,3.710000,0.000000,-0.602886,0.000000,0.797827
29.325660,8.466111,0.172373,3.710000,0.000000,-0.630186,0.000000,0.776444
29.380290,8.356860,0.172373,3.710000,0.000000,-0.651894,0.000000,0.758310
29.427300,8.262862,0.172373,3.710000,0.000000,-0.665211,0.000000,0.746656
29.477850,8.161797,0.172373,3.710000,0.000000,-0.676011,0.000000,0.736892
29.530830,8.055849,0.172373,3.710000,0.000000,-0.684372,0.000000,0.729133
29.578130,7.961268,0.172373,3.710000,0.000000,-0.689812,0.000000,0.723989
29.628690,7.860180,0.172373,3.710000,0.000000,-0.694222,0.000000,0.719761
29.681610,7.754376,0.172373,3.710000,0.000000,-0.697653,0.000000,0.716436
29.729300,7.659004,0.172373,3.710000,0.000000,-0.699919,0.000000,0.714222
29.780820,7.555992,0.172373,3.710000,0.000000,-0.701777,0.000000,0.712396
29.834750,7.448166,0.172373,3.710000,0.000000,-0.703218,0.000000,0.710974
29.881720,7.354260,0.172373,3.710000,0.000000,-0.704133,0.000000,0.710068
29.932310,7.253092,0.172373,3.710000,0.000000,-0.704887,0.000000,0.709320
29.985620,7.146516,0.172373,3.710000,0.000000,-0.705479,0.000000,0.708731
30.033300,7.051170,0.172373,3.710000,0.000000,-0.705868,0.000000,0.708344
30.083380,6.951054,0.172373,3.710000,0.000000,-0.706178,0.000000,0.708034
30.136350,6.845147,0.172373,3.710000,0.000000,-0.706424,0.000000,0.707789
30.183760,6.750362,0.172373,3.710000,0.000000,-0.706586,0.000000,0.707627
30.234310,6.649287,0.172373,3.710000,0.000000,-0.706718,0.000000,0.707496
30.287610,6.542733,0.172373,3.710000,0.000000,-0.706821,0.000000,0.707392
30.335480,6.447015,0.172373,3.710000,0.000000,-0.706890,0.000000,0.707324
30.386200,6.345608,0.172373,3.710000,0.000000,-0.706945,0.000000,0.707269
30.439850,6.238363,0.172373,3.710000,0.000000,-0.706988,0.000000,0.707225
30.486910,6.144265,0.172373,3.710000,0.000000,-0.707016,0.000000,0.707197
30.537780,6.042572,0.172373,3.710000,0.000000,-0.707039,0.000000,0.707174
30.590840,5.936488,0.172373,3.710000,0.000000,-0.707057,0.000000,0.707156
30.638070,5.842077,0.172373,3.710000,0.000000,-0.707069,0.000000,0.707145
30.688190,5.741876,0.172373,3.710000,0.000000,-0.707078,0.000000,0.707135
30.741730,5.634843,0.172373,3.710000,0.000000,-0.707086,0.000000,0.707128
30.788700,5.540961,0.172373,3.710000,0.000000,-0.707091,0.000000,0.707123
30.839340,5.439720,0.172373,3.710000,0.000000,-0.707095,0.000000,0.707119
30.892260,5.333936,0.172373,3.710000,0.000000,-0.707098,0.000000,0.707116
30.939800,5.238911,0.172373,3.710000,0.000000,-0.707100,0.000000,0.707113
30.990560,5.137449,0.172373,3.710000,0.000000,-0.707102,0.000000,0.707112
31.044350,5.029935,0.172373,3.710000,0.000000,-0.707103,0.000000,0.707111
31.091340,4.936002,0.172373,3.710000,0.000000,-0.707104,0.000000,0.707110
31.142240,4.834265,0.172373,3.710000,0.000000,-0.707105,0.000000,0.707109
31.195280,4.728256,0.172373,3.710000,0.000000,-0.707105,0.000000,0.707108
31.243190,4.632498,0.172373,3.710000,0.000000,-0.707106,0.000000,0.707108
31.294380,4.530190,0.172373,3.710000,0.000000,-0.707106,0.000000,0.707108
31.347110,4.424799,0.172373,3.710000,0.000000,-0.707106,0.000000,0.707108
31.395120,4.328863,0.172373,3.710000,0.000000,-0.707106,0.000000,0.707107
31.445110,4.228961,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
31.498440,4.122389,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
31.545750,4.027859,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
31.597040,3.925371,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
31.650200,3.819166,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
31.697610,3.724447,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
31.747990,3.623780,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
31.801830,3.516244,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
31.848820,3.422374,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
31.899750,3.320634,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
31.953460,3.213373,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
32.001090,3.118250,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
32.052400,3.015793,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
32.105050,2.910674,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
32.152230,2.816475,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
32.202480,2.716177,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
32.256260,2.608844,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
32.303060,2.515459,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
32.353260,2.415303,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
32.406450,2.309206,0.180827,3.710000,0.000000,-0.707107,0.000000,0.707107
32.453660,2.215093,0.180894,3.710000,0.000000,-0.707107,0.000000,0.707107
32.503420,2.115914,0.180964,3.710000,0.000000,-0.707107,0.000000,0.707107
32.557650,2.007865,0.181041,3.710000,0.000000,-0.707107,0.000000,0.707107
32.605030,1.913512,0.181107,3.710000,0.000000,-0.707107,0.000000,0.707107
32.655910,1.812226,0.181179,3.710000,0.000000,-0.707107,0.000000,0.707107
32.708900,1.706789,0.181253,3.710000,0.000000,-0.707107,0.000000,0.707107
32.756030,1.613093,0.181320,3.710000,0.000000,-0.707107,0.000000,0.707107
32.806690,1.512439,0.181391,3.710000,0.000000,-0.707107,0.000000,0.707107
32.859560,1.407521,0.181465,3.710000,0.000000,-0.707107,0.000000,0.707107
32.907910,1.311673,0.181533,3.710000,0.000000,-0.707107,0.000000,0.707107
32.958690,1.258967,0.181681,3.760202,0.000000,-0.707107,0.000000,0.707107
33.011840,1.309218,0.181747,3.832183,0.000000,-0.710996,0.000000,0.703197
33.058990,1.302239,0.181856,3.852575,0.000000,-0.718062,0.000000,0.695980
33.109680,1.297411,0.181896,3.869040,0.000000,-0.725267,0.000000,0.688468
33.163180,1.582147,0.181899,3.913174,0.000000,-0.934440,0.000000,0.356120
33.210930,1.488129,0.181831,3.900707,0.000000,-0.900903,0.000000,0.434022
33.261270,1.389098,0.181872,3.887574,0.000000,-0.869438,0.000000,0.494043
33.315160,1.283204,0.181916,3.873532,0.000000,-0.841232,0.000000,0.540675
33.362080,1.191158,0.181954,3.861326,0.000000,-0.821953,0.000000,0.569555
33.412450,1.092512,0.181994,3.848245,0.000000,-0.805350,0.000000,0.592800
33.468090,0.983823,0.182039,3.833832,0.000000,-0.791124,0.000000,0.611656
33.512400,0.897557,0.182075,3.822392,0.000000,-0.782742,0.000000,0.622347
33.563190,0.799071,0.182116,3.809332,0.000000,-0.775140,0.000000,0.631789
33.616170,0.696958,0.182158,3.795791,0.000000,-0.769145,0.000000,0.639074
33.663200,0.611162,0.182206,3.790207,0.000000,-0.765196,0.000000,0.643798
33.713490,0.741522,0.182386,3.906688,0.000000,-0.555654,0.000000,0.831414
33.766360,0.833898,0.182372,3.826962,0.000000,-0.626974,0.000000,0.779041
33.814210,0.877874,0.182288,3.911947,0.000000,-0.442545,0.000000,0.896746
33.864830,0.807786,0.182409,3.944565,0.000000,-0.540875,0.000000,0.841103
33.917930,0.721518,0.182652,4.027209,0.000000,-0.619516,0.000000,0.784984
33.965100,0.638686,0.182652,3.988081,0.000000,-0.680045,0.000000,0.733170
34.015210,0.551437,0.182625,3.946867,0.000000,-0.725838,0.000000,0.687866
34.068360,0.460132,0.182596,3.903736,0.000000,-0.760218,0.000000,0.649668
34.115550,0.460132,0.182565,3.903736,0.000000,-0.760218,0.000000,0.649668
34.165740,0.460132,0.182565,3.903736,0.000000,-0.760218,0.000000,0.649668
34.218920,0.460132,0.182565,3.903736,0.000000,-0.760218,0.000000,0.649668
34.266890,0.460132,0.182565,3.903736,0.000000,-0.760218,0.000000,0.649668
34.317990,0.460132,0.182565,3.903736,0.000000,-0.760218,0.000000,0.649668
34.370400,0.460132,0.182565,3.903736,0.000000,-0.760218,0.000000,0.649668
34.419130,0.460132,0.182565,3.903736,0.000000,-0.760218,0.000000,0.649668
34.469130,0.460132,0.182565,3.903736,0.000000,-0.760218,0.000000,0.649668
34.520340,0.460132,0.182565,3.903736,0.000000,-0.760218,0.000000,0.649668
34.570490,0.460132,0.182565,3.903736,0.000000,-0.760218,0.000000,0.649668
34.621480,0.460132,0.182565,3.903736,0.000000,-0.760218,0.000000,0.649668
34.671440,0.339401,0.182565,3.827446,0.000000,-0.760218,0.000000,0.649668
34.721760,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
34.771410,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
34.822150,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
34.875280,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
34.922990,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
34.973000,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
35.023290,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
35.073200,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
35.123410,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
35.174420,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
35.224350,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
35.275900,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
35.325750,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
35.376260,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
35.426530,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
35.476550,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
35.526930,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
35.576710,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
35.628230,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
35.678360,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
35.728920,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
35.778760,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
35.829030,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
35.879800,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
35.930010,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
35.979980,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
36.030380,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
36.080960,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
36.132110,0.339401,0.182481,3.827446,0.000000,-0.760218,0.000000,0.649668
36.182700,0.238242,0.182550,3.826376,0.000000,-0.748103,0.000000,0.663583
36.233120,0.150981,0.182592,3.817271,0.000000,-0.738915,0.000000,0.673799
36.283000,0.121476,0.182592,3.771256,0.000000,-0.731962,0.000000,0.681345
36.333300,0.078028,0.182510,3.721143,0.000000,-0.726284,0.000000,0.687395
36.387100,0.021487,0.182430,3.667370,0.000000,-0.721275,0.000000,0.692649
36.434310,-0.051050,0.182351,3.627730,0.000000,-0.717633,0.000000,0.696422
36.485120,-0.152667,0.182388,3.628510,0.000000,-0.714292,0.000000,0.699848
36.538650,-0.259713,0.182465,3.629332,0.000000,-0.711655,0.000000,0.702530
36.585940,-0.354257,0.182534,3.630057,0.000000,-0.709944,0.000000,0.704259
36.636630,-0.455629,0.182607,3.630836,0.000000,-0.708540,0.000000,0.705671
