Timestamp,LeftGazeValid,LeftGazePosX,LeftGazePosY,LeftGazePosZ,LeftGazeRotX,LeftGazeRotY,LeftGazeRotZ,LeftGazeRotW,RightGazeValid,RightGazePosX,RightGazePosY,RightGazePosZ,RightGazeRotX,RightGazeRotY,RightGazeRotZ,RightGazeRotW,LeftDiameterValid,LeftPupilDiameter,LeftPositionValid,LeftPupilPosX,LeftPupilPosY,RightDiameterValid,RightPupilDiameter,RightPositionValid,RightPupilPosX,RightPupilPosY,AnchorIndex,HMDIsValid,HMDCoordinateSystem,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationW,HMDEulerX,HMDEulerY,HMDEulerZ,HMDVelocityValid,HMDVelocityX,HMDVelocityY,HMDVelocityZ,HMDAngularVelocityValid,HMDAngularVelocityX,HMDAngularVelocityY,HMDAngularVelocityZ,HumanMPositionX,HumanMPositionY,HumanMPositionZ,BallPositionX,BallPositionY,BallPositionZ,Ball2PositionX,Ball2PositionY,Ball2PositionZ,CubeHumanPositionX,CubeHumanPositionY,CubeHumanPositionZ
0.219909,True,-0.077857,1.019882,0.218318,0.014691,0.040638,-0.014794,-0.998956,True,-0.012971,1.021392,0.214771,-0.040637,-0.099810,-0.007491,-0.994148,True,4.000,True,0.521828,0.461890,True,4.000,True,0.555906,0.379012,,True,Device,-0.044627,1.021874,0.231473,-0.040940,0.026799,0.012731,0.998721,355.270100,3.018980,1.335971,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,4.990000,0.978000,4.450000,-0.057295,2.525436,3.521328,-0.942691,2.484893,1.766842,,,
0.231002,True,-0.077745,1.019894,0.218077,0.014597,0.038803,-0.014744,-0.999031,True,-0.012872,1.021395,0.214292,-0.041297,-0.102659,-0.007290,-0.993832,True,4.000,True,0.521828,0.461890,True,4.000,True,0.553822,0.379156,,True,Device,-0.044466,1.021879,0.231110,-0.040845,0.028634,0.012734,0.998674,355.278700,3.229942,1.327910,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,,,
0.240309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.242091,True,-0.077654,1.019891,0.217857,0.014447,0.037102,-0.014695,-0.999099,True,-0.012795,1.021384,0.213852,-0.041466,-0.104385,-0.007162,-0.993646,True,4.000,True,0.521828,0.461890,True,4.000,True,0.553822,0.379156,,True,Device,-0.044331,1.021868,0.230777,-0.040692,0.030336,0.012739,0.998630,355.293800,3.425612,1.320851,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,,,
0.254106,True,-0.077513,1.019868,0.217608,0.013557,0.034959,-0.014375,-0.999193,True,-0.012668,1.021322,0.213368,-0.041613,-0.106243,-0.006786,-0.993446,True,4.000,True,0.520194,0.461046,True,4.000,True,0.553822,0.379156,,True,Device,-0.044142,1.021823,0.230407,-0.040597,0.032155,0.012510,0.998580,355.303200,3.635909,1.286290,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,4.990000,0.978000,4.450000,,,,,,,,,
0.264411,True,-0.077377,1.019861,0.217434,0.013208,0.033460,-0.014193,-0.999252,True,-0.012544,1.021293,0.213000,-0.043074,-0.108817,-0.006487,-0.993107,True,4.000,True,0.520194,0.461046,True,4.000,True,0.551116,0.379839,,True,Device,-0.043967,1.021795,0.230135,-0.040239,0.033658,0.012391,0.998546,355.342800,3.809521,1.266933,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,,,
0.275330,True,-0.077250,1.019824,0.217227,0.013280,0.031028,-0.014075,-0.999331,True,-0.012431,1.021247,0.212598,-0.043706,-0.110458,-0.006360,-0.992899,True,4.000,True,0.517726,0.460569,True,4.000,True,0.551116,0.379839,,True,Device,-0.043802,1.021739,0.229828,-0.039719,0.035169,0.012363,0.998515,355.400500,3.983899,1.258667,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,0.149864,2.539090,3.442648,-0.923345,2.513075,1.986270,,,
0.284535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.286504,True,-0.077081,1.019797,0.217018,0.012505,0.029514,-0.013862,-0.999390,True,-0.012276,1.021200,0.212198,-0.044570,-0.111990,-0.006170,-0.992690,True,4.000,True,0.517726,0.460569,True,4.000,True,0.551116,0.379839,,True,Device,-0.043595,1.021678,0.229522,-0.038913,0.036656,0.012241,0.998495,355.491600,4.156094,1.241137,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,,,
0.297489,True,-0.076943,1.019737,0.216762,0.011731,0.028165,-0.013634,-0.999441,True,-0.012150,1.021120,0.211772,-0.044721,-0.114619,-0.005952,-0.992385,True,4.000,True,0.517726,0.460569,True,4.000,True,0.548655,0.382036,,True,Device,-0.043423,1.021584,0.229180,-0.038107,0.037977,0.012101,0.998479,355.582900,4.309268,1.222452,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,4.990000,0.978000,4.450000,,,,,,,,,
