Timestamp,LeftGazeValid,LeftGazePosX,LeftGazePosY,LeftGazePosZ,LeftGazeRotX,LeftGazeRotY,LeftGazeRotZ,LeftGazeRotW,RightGazeValid,RightGazePosX,RightGazePosY,RightGazePosZ,RightGazeRotX,RightGazeRotY,RightGazeRotZ,RightGazeRotW,LeftDiameterValid,LeftPupilDiameter,LeftPositionValid,LeftPupilPosX,LeftPupilPosY,RightDiameterValid,RightPupilDiameter,RightPositionValid,RightPupilPosX,RightPupilPosY,AnchorIndex,HumanMPositionX,HumanMPositionY,HumanMPositionZ,BallPositionX,BallPositionY,BallPositionZ,CubeHumanPositionX,CubeHumanPositionY,CubeHumanPositionZ
1.340673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
1.354372,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
1.374462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
1.378113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.038427,2.491699,1.561188,,,
1.388665,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
1.408927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
1.422752,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
1.429090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.038427,2.491699,1.561188,,,
1.443845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
1.456481,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
1.479545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.038427,2.491699,1.561188,,,
1.480698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
1.490611,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
1.514150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
1.524569,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
1.531779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.017369,2.505505,1.768437,,,
